"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66"
"11" -1.9263253 -1.0035002 -0.88105158 -0.66593661 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 -0.72957561 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 -0.73243811 -1.5575484 -0.87313969 5.0845783e-15 -0.75377218 -1.5559118 -0.63976678 7.5417544e-15 -0.62577521 -1.0749011 -1.1434147e-15 -2.6889241e-16 3.3584892e-15 0 5.7480289e-16 -1.2712723e-15 -1.7329478e-15 -1.7423086e-15 -1.339352e-15 -2.67106e-15 -1.6181382e-15 8.9275182e-16 -2.0002221e-16 2.8734047e-16 -3.1436519e-15 -1.4870417e-15 -1.6633194e-15 1.2950018e-15 -2.1354391e-15 -9.6747717e-16 -7.3165432e-16 4.3926502e-16 -1.3659465e-15 -4.8625353e-16 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"12" -1.7380826 -0.85697444 -0.70455774 -0.66593661 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 -0.64963891 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 2.3905663 1.3026067 -0.87313969 5.0845783e-15 2.3448522 1.2809401 -0.63976678 7.5417544e-15 -0.62577521 -1.0749011 -1.6320024 -1.6787718 -1.7549859 -1.5557723 -1.6360094 -1.4677512 -1.5606229 -1.6178084 -1.3746106 -1.5879317 -1.6660724 -1.7170152 -1.5641488 -1.6463346 -1.4305043 -1.537007 -1.5666634 -1.3044071 -2.1354391e-15 -9.6747717e-16 -7.3165432e-16 4.3926502e-16 -1.3659465e-15 -4.8625353e-16 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"13" -1.2183327 -0.23142203 0.048935194 -0.66593661 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 -0.5799623 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 2.3905663 1.3026067 -0.87313969 5.0845783e-15 2.3448522 1.2809401 -0.63976678 7.5417544e-15 -0.62577521 -1.0749011 -1.5874258 -1.6112896 -1.7106558 -1.5508064 -1.6393792 -1.4587733 -1.4726888 -1.4964302 -1.3066636 -1.544543 -1.59839 -1.6728259 -1.5591846 -1.6497037 -1.4216239 -1.4507714 -1.450788 -1.2387101 -2.1354391e-15 -9.6747717e-16 -7.3165432e-16 4.3926502e-16 -1.3659465e-15 -4.8625353e-16 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"14" 0.47835079 -0.039811379 0.23900548 -0.5879962 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 -0.57586347 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 2.3905663 1.3026067 -0.87313969 5.0845783e-15 2.3448522 1.2809401 -0.63976678 7.5417544e-15 2.5371235 1.588828 -1.6121612 -1.6721013 -1.6496448 -1.5503682 -1.635797 -1.4530879 -1.481329 -1.5043152 -1.34341 -1.5721751 -1.6582046 -1.6099994 -1.5587454 -1.6457456 -1.415877 -1.4592447 -1.4583156 -1.2742398 -1.7066143 -2.06575 -1.9011943 -1.5793816 -1.8060128 -1.5582835 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"15" 0.39505754 0.29268945 0.49695802 -0.31520478 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 0.00041801939 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 2.3905663 1.3026067 -0.87313969 5.0845783e-15 2.3448522 1.2809401 -0.63976678 7.5417544e-15 2.5371235 1.588828 -1.4621798 -1.463038 -1.6362429 -1.4930976 -1.5756091 -1.3929317 -1.1886203 -1.1101102 -1.1588515 -1.4193033 -1.4609571 -1.6063261 -1.4996524 -1.5896969 -1.3559529 -1.1623048 -1.0625735 -1.092732 -1.6568397 -1.6797546 -1.7202659 -1.5369162 -1.6782966 -1.4889844 -1.5513042 -1.8024593 -1.4891964 1.2724832 -1.4701504 -1.1403124 187 0 2
"16" -0.018909909 0.35468114 0.69381654 -0.549026 -0.80813639 -0.80871113 -0.66924882 -0.40147933 -0.22613755 0.2881904 -0.38930127 -0.23394129 0.34078362 -0.75881352 -0.23080588 -0.77667352 0.86995242 -0.58343375 -0.32216563 -0.20700544 -0.49244766 -0.36249372 -1.3154806 2.2147888 1.2433304 -0.33035081 -1.1723548 2.1631596 1.2201803 -0.63976678 7.5417544e-15 2.5371235 1.588828 -0.44104909 -0.63497034 -0.52446416 -0.79585886 -1.0923714 -1.0597468 -0.63932145 -0.64517586 -0.71416561 -0.41077345 -0.66020382 -0.46981238 -0.84089347 -1.1731448 -1.0135338 -0.61876742 -0.60440628 -0.72515581 -1.1612333 0.155705 -1.4184693 -0.31450731 -0.40888157 -1.4308555 -0.96351847 -1.6300631 -0.1558284 1.2724832 -1.4701504 -1.1403124 187 0 2
"17" -0.918477 0.19688413 0.54447559 -0.62696641 -0.4763009 -0.50788815 1.9914047 0.18086219 -0.22613755 0.024749292 0.12763865 -0.23394129 0.070892427 0.52966871 4.5264388 0.37252378 0.87277482 -0.45824838 -0.2838815 -0.18750297 -0.42260747 0.22399466 0.84761893 1.097985 0.92803212 0.092228322 0.77960309 1.166033 0.95159914 5.6399733 7.5417544e-15 0.5603118 -0.65869344 0.086860257 -0.76016874 -0.88571838 0.38032651 -0.6941749 -0.9464372 0.56524335 -0.38467181 -0.92354851 -0.00054053196 -0.77433652 -0.87580089 0.29829576 -0.72804982 -0.91811542 0.31154746 -0.3423864 -0.98703309 3.9501807 0.5919669 0.22450019 3.1407674 0.35210637 -0.79532383 2.9048596 -1.2782745 -0.24072771 1.2724832 -1.4701504 -1.1403124 187 0 2
"18" -0.91098061 -0.028540164 0.27294661 -0.62696641 0.2393859 0.22598337 1.6806505 0.86508505 -0.22613755 0.19264661 0.85499303 -0.23394129 0.24290054 -0.52782897 5.9629594 0.044262686 1.0277071 -0.25862275 -0.27083374 -0.15595575 -0.4642706 0.1292205 1.9141236 0.21998535 0.71306109 0.09676624 1.8031021 0.2631368 0.71410842 1.3729704 7.5417544e-15 -0.23041287 -0.96391241 0.1169939 -0.13321274 -0.7528133 0.4508045 -0.46802564 -0.5412037 1.3503077 -0.78369437 -0.36627809 0.084350412 -0.1244025 -0.72280015 0.46420071 -0.48209434 -0.50702878 1.3176995 -0.77036474 -0.32946372 1.7306228 0.33361037 -0.54609934 -1.1428111 -0.2288123 -0.9435229 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"19" -0.46786052 -0.45684632 -0.22259379 -0.66593661 0.16201143 0.16936605 -0.66924882 0.87863914 -0.22613755 0.045156702 0.8634368 -0.23394129 0.091799491 -0.75881352 -0.23080588 -0.77667352 0.7245932 -0.39409161 -0.28201665 -0.1586946 -0.49244766 1.0219416 1.1794561 0.40001772 0.70097433 1.0265126 1.0679476 0.36984303 0.68420951 -0.63976678 7.5417544e-15 -0.62577521 -1.0749011 0.25608279 0.083316876 -0.28661888 0.42072838 -0.46598133 0.12993719 1.0614612 -0.64465575 -1.0421087 0.24983433 0.10124105 -0.25331315 0.41165452 -0.47655474 0.14982627 1.034432 -0.63762957 -0.98291545 -2.1354391e-15 -9.6747717e-16 -7.3165432e-16 4.3926502e-16 -1.3659465e-15 -4.8625353e-16 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"20" 0.41921258 0.16870609 -0.23617024 0.80194105 -0.37886755 -0.5103934 -0.061851474 -0.33174014 -0.22613755 -0.49888628 -0.41258811 -0.23394129 -0.53588759 0.027040103 -0.23080588 -0.073661852 -0.83335957 -0.34746652 -0.48934401 -0.47717629 -0.31102257 0.55439862 0.8423736 -0.19175126 0.47653242 0.018170652 1.0720069 0.30737643 0.70919154 0.2889058 1.1018011 -0.28841552 0.68769521 -0.92810365 -1.0492934 -1.0373047 -0.83043952 -1.1730863 -1.1241432 -0.8662944 -1.2154702 -1.0924704 -1.0747729 -1.0754046 -1.0018894 -1.032761 -1.220077 -1.1557585 -0.85798632 -1.3573169 -1.1913996 -0.8570074 -1.2342148 -1.1190767 -0.66275003 -1.2051696 -1.1269021 -0.94337957 -1.2192966 -1.2404306 0.67055497 0.59543397 0.87343077 691 1 3
