"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44"
"11" 1.3520321 1.3205446 -0.47191882 -0.15572569 -0.43136747 -0.021739214 -1.0077998 2.0245611 0.34935827 0.85619617 -0.393388 -0.93182173 -0.95664111 -0.21830154 -0.46649461 -0.43668105 0.2854726 1.4457102 -0.11096336 -1.0820954 -1.0364329 -0.20606285 -0.50419114 -0.37957744 0.44267103 -0.45691339 0.69531126 0.012320727 0.91053701 -0.46719285 -0.089447887 -0.227571 -0.29424848 0.064332082 -0.03756288 -0.31726626 -0.45151374 0.098832159 0.46678942 2.9741307e-08 -1.2913027 0.86360319 1 4
"12" 1.1414317 0.76129813 -0.66408951 -0.3373982 -0.43136747 -0.50744458 -1.0028708 0.95271229 -0.29717528 1.261465 -0.35411848 -0.88554587 -0.9644531 -0.21830154 -0.79187699 -0.197931 0.753086 0.91152459 -0.19661663 -1.0915301 -0.91084665 -0.20606285 -0.81892554 -0.57919068 0.046894588 -0.8248818 1.5607067 -0.25295174 0.49793264 -0.8248918 -0.66842681 -0.61137339 -0.75984688 -0.47361321 -0.15344127 -0.82303462 -0.65662158 0.25762843 0.46678942 2.9741307e-08 -1.2913027 0.86360319 1 4
"13" 1.1348505 1.0339885 -0.69379291 -0.74107297 -0.43136747 -0.80240021 -0.88542341 0.96938034 -0.24514205 0.71239112 -0.38862397 -0.74286581 -0.58185527 -0.21830154 -0.40127636 -0.17401355 0.58130969 1.6299121 0.74101623 -0.98178749 -0.36389129 -0.20606285 0.27064518 -0.080335622 0.77103095 0.29894415 -0.35083097 -0.64541607 -0.67324525 -0.61957071 -0.68409135 -0.73774093 -0.58281351 -0.56837043 -0.8286559 -0.65558571 -0.63452522 -0.69834086 0.46678942 2.9741307e-08 -1.2913027 0.86360319 1 4
"14" 0.78933413 1.3575196 -0.65404641 -0.78860616 -0.43136747 -0.58927858 -0.79700547 1.1520309 -0.3389311 -0.34653701 -0.62671494 -0.62434487 -0.69472021 -0.21830154 -0.59409554 -0.59890375 -0.26154022 0.8931044 -0.42829231 -0.95563457 -0.80396158 -0.20606285 -0.6276164 -0.34691901 0.18740151 -0.59317816 0.53346233 -0.50097331 -0.018381771 -0.93354089 -0.70471456 -0.81867017 -0.90854061 -0.78970481 -0.64654948 -0.88354067 -0.57393843 -0.48118446 0.46678942 2.9741307e-08 -1.2913027 0.86360319 1 4
"15" 0.098301482 0.76129813 -0.7353058 -0.91861699 -0.43136747 -0.62990121 -0.76648085 0.49812604 -0.67500135 -0.80409855 -0.87918266 -0.80437028 -1.0926184 -0.21830154 -1.2044533 -0.95730471 -0.86811323 0.45101978 -0.6663997 -0.8520072 -0.89453312 -0.20606285 -0.76064139 -0.3992895 0.067400286 -1.1937746 1.6618339 -0.49187999 0.71197734 -1.3441029 -1.2640721 -1.2723415 -1.1458878 -1.1985068 -1.0710617 -0.7653965 -0.62234248 -0.59037864 0.46678942 2.9741307e-08 -1.2913027 0.86360319 1 4
"16" 0.11146401 -0.35719479 -0.73945431 -1.042301 -0.43136747 -0.82712703 -0.87481282 -0.3185344 -0.70073275 0.73853749 -0.094037739 -0.69102628 -0.41023573 -0.21830154 -0.32684248 -0.07405686 0.74071612 -0.59893118 -0.40646244 -0.18385641 0.14917913 -0.20606285 -0.36910906 -0.59478229 -0.1359728 -1.0944247 -0.38444387 0.5503128 0.94415079 -0.96863518 -0.79128735 -0.92701104 -0.84152752 -1.028382 -0.92135042 -0.80789143 -0.82154989 -0.065060022 -1.8551631 -1.6250882 0.76863256 -0.40377427 0 5
"17" 0.31548317 0.12810172 -0.57505854 -0.6922837 -0.43136747 -0.71526761 -1.0666479 0.50672809 -0.50707437 0.50322013 -0.53919939 -0.71393509 -0.50223113 -0.21830154 -0.36795834 -0.23447567 0.81384973 0.35891882 -0.17167985 -0.59606818 -0.41046912 -0.20606285 -0.36568058 -0.11032339 1.1093086 -0.77024471 0.4180958 -0.37422574 0.29037411 -0.73317752 -0.83159344 -0.84544726 -0.49760316 -0.37832214 -0.74758371 -0.67274177 -0.71228625 -0.24790986 -1.8551631 -1.6250882 0.76863256 -0.40377427 0 5
"18" -0.48414032 -0.10299185 -0.47017552 -0.89129812 -0.43136747 -0.99550489 -0.24601176 -0.28639923 -0.55067126 -0.80409855 -0.68812353 -0.45508136 -0.31344987 -0.21830154 -0.74579887 -0.78287923 -0.80637288 -0.083165794 -0.71105597 -0.47013179 -0.66041731 -0.18123898 -0.73115647 -0.31576123 -0.25607484 0.012457325 -0.37381084 -0.60845642 -0.66331526 -0.7900938 -0.59276272 -0.36558381 -0.60305574 -0.79326917 -0.97457881 -0.88610576 -1.0019906 -0.40670779 -1.8551631 -1.6250882 0.76863256 -0.40377427 0 5
"19" 0.58531497 0.52096081 -0.41597264 -0.66030258 -0.43136747 -0.24486932 -0.48112706 0.38304056 -0.14129554 0.42478101 -0.40893853 -0.86748886 -0.99069672 -0.21830154 -0.30415787 -0.49597595 -0.34570629 0.61680151 0.045172585 -0.6327939 -0.54963808 -0.20606285 -0.31699617 0.023845806 0.34902981 -0.10051023 -1.0388745 -0.08292902 0.1196711 -0.20357259 -0.36486614 -0.60446359 -0.50064043 -0.75495921 -0.78937958 -0.76128465 -0.73928666 -0.11672642 -1.8551631 -1.6250882 0.76863256 -0.40377427 0 5
"20" 0.41749275 -0.084504368 -0.41295213 -0.31567258 -0.43136747 -0.15891419 -0.6410601 0.001932504 -0.10942438 0.89541573 -0.4056204 -0.62329213 -0.23581564 -0.21830154 0.36149365 0.13177752 0.69411378 0.21155728 0.62886022 0.047072001 0.49253916 -0.20606285 0.54012365 0.55248516 1.3046562 -0.25481392 -0.98612234 -0.074044575 0.46540865 -0.32108734 0.21492997 -0.052822755 -0.58213691 -0.14974928 -0.66118949 -0.22373252 -0.43435623 0.031126543 -1.8551631 -1.6250882 0.76863256 -0.40377427 0 5
