"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "id"
"12" 2.9937926 2.165433 2.339915 3.2580513 2.520477 1.7859136 3.1369841 1.819057 0.040181235 0.81182792 0.16330872 0.47684436 -0.49119031 1.2297653 -0.78871137 0.26995325 1.4939607 0.74335822 2.5481075 1.0809218 2.338279 2.3846556 1.7627355 1.9665925 1.8088273 1.855501 2.4933109 2.5348264 0.99945257 0.62597059 2.7548803 2
"13" 0.22882253 1.4336278 0.68482128 2.0567219 1.3444204 0.51021767 -0.32697331 0.46698906 1.0433072 -0.54042565 1.4144926 1.1038817 -0.87992282 -0.61337237 0.64810607 -0.02942051 0.41765715 -0.70960442 1.8582584 0.29752069 2.0207212 3.3233162 0.68251495 1.0069907 1.706471 0.45818164 0.54752835 1.5030719 0.68392745 0.20979968 2.5625889 2
"14" -1.0918071 -1.1873282 -1.5254106 -1.1481835 -1.4837844 -1.8475231 -0.67835727 -0.72813959 0.1012557 -1.3173545 -0.2568365 -0.4521307 -0.69285547 -0.61337237 0.94573634 -0.33254166 -1.2713105 -1.2515478 -1.1880905 -1.1144061 -0.95109669 -0.90082461 -1.5030337 -1.5505118 -1.3526566 -1.4347964 -1.3512372 -1.2532051 -1.1252764 -1.0992208 -0.92709852 3
"15" -1.0702419 -1.0962526 -1.370602 -1.1320157 -1.4360914 -1.7697495 -0.67160615 -0.72292141 -0.35598528 -0.7453591 -0.048039312 0.065625643 -0.7676824 0.48029556 -0.19031846 0.54044718 -1.1178255 -1.2245967 -1.2324079 -1.1316375 -0.98953461 -0.91944611 -1.4082439 -1.506589 -1.3819492 -1.3920941 -1.3267322 -1.248024 -1.0147262 -1.1367868 -0.82084859 3
"16" -1.0326561 -1.090661 -1.3591951 -1.0707832 -1.326344 -1.7065911 -0.65895558 -0.71847819 0.033823449 -0.65835975 -0.095390058 0.047743749 0.71955438 -0.28715445 -0.81731367 -0.26312525 -1.058376 -1.113403 -1.1649689 -0.96296338 -0.95253467 -0.90184554 -1.2532064 -1.4198454 -1.2609068 -1.3460856 -1.3230335 -1.2281478 -0.99553953 -1.1945324 -0.93279318 3
"17" -0.88997105 -0.84356147 -0.99308636 -0.96700474 -1.1783612 -1.4320346 -0.61219751 -0.69980459 -0.56995222 0.65223805 -0.34232499 0.20750311 -0.65334521 1.5274324 -0.65562562 0.56741721 -0.94484735 -1.1040747 -1.0556198 -0.81309073 -0.83327661 -0.85995924 -1.1375791 -1.3508904 -1.2336746 -1.1780068 -1.1935121 -1.2210566 -0.95673984 -0.95452819 -0.85612392 3
"18" -0.77332391 -0.85290268 -1.0349118 -0.9713452 -1.1789011 -1.4231611 -0.55536189 -0.69926911 -0.80824703 1.0334813 -0.33468278 0.20692015 -0.43013541 1.8797952 -1.0211802 0.16055199 -0.94570678 -1.0967526 -0.98222112 -0.78616886 -0.84075392 -0.80416575 -1.156862 -1.3039468 -1.2169656 -1.1292342 -1.1872612 -1.1369804 -1.0901593 -0.8568393 -0.97330074 3
"19" -0.7448955 -0.38879405 -0.1332198 -0.66786336 -0.55428564 -0.20331603 -0.52475704 -0.39605517 -0.92713734 0.72188 -0.062105132 0.72353491 -0.93067033 1.0527041 -0.22400605 1.0341115 -0.40503712 -0.33033081 -0.79455441 -0.59073264 -0.81981665 -0.68589362 -0.74347191 -0.5901918 -0.59829 -0.54564506 -0.45709145 -0.37980039 -0.51882595 -0.47186186 -0.40162869 4
"20" -0.8322969 -0.46346852 -0.53300615 -0.72263231 -0.64131951 -0.6339417 -0.55927813 -0.45924039 -0.69546543 0.77983647 -0.26723262 0.14568644 -1.033299 -0.61337237 1.6539651 1.620641 -0.96563142 -0.70264567 -0.66969944 -0.48501055 -0.47790486 -0.3434184 -0.77408608 -0.70971055 -0.73142559 -0.88062295 -0.68915715 -0.49418427 -0.75821353 -0.87874084 -0.38492633 4
"21" -0.76081149 -0.42654649 -0.61557072 -0.74251857 -0.86146413 -1.0243756 -0.46333307 -0.53802172 -0.2346454 0.11823952 -0.51404411 -0.65654302 -0.027569247 1.2837519 -0.13385774 0.86611039 -0.33106223 -0.90092294 -0.85380945 -0.19507547 -0.55115677 -0.47666577 -0.77008011 -0.75622103 -0.80501594 -0.69746451 -0.84024273 -0.9146782 -0.80165059 -0.73968978 -0.77444186 4
